s,slabel,user_slabel,o,olabel,user_olabel
UBERON:000209,interventricular septum,,UBERON:0000948,heart,
UBERON:0002349,myocardium,,UBERON:0000948,heart,
UBERON:0001585,superior vena cava,,UBERON:0000948,heart,
UBERON:0000947,aorta,,UBERON:0000948,heart,
UBERON:0002137,aortic valve,,UBERON:0000948,heart,
UBERON:0002333,pulmonary trunk,,UBERON:0000948,heart,
UBERON:0002012,pulmonary artery,,UBERON:0000948,heart,
UBERON:0002146,pulmonary valve,,UBERON:0000948,heart,
UBERON:000201,pulmonary vein,,UBERON:0000948,heart,
UBERON:0002078,right cardiac atrium,,UBERON:0000948,heart,
UBERON:0002079,left cardiac atrium,,UBERON:0000948,heart,
UBERON:0002134,tricuspid valve,,UBERON:0000948,heart,
UBERON:0002135,mitral valve,,UBERON:0000948,heart,
UBERON:0002080,heart right ventricle,,UBERON:0000948,heart,
UBERON:0002084,heart left ventricle,,UBERON:0000948,heart,
UBERON:0005994,chorda tendineae,,UBERON:0000948,heart,
UBERON:0002494,papillary muscle of heart,,UBERON:0000948,heart,
UBERON:0035814,pericardial fat,,UBERON:0000948,heart,
UBERON:0015129,epicardial fat,,UBERON:0000948,heart,
UBERON:0035815,paracardial fat,,UBERON:0000948,heart,
UBERON:0001621,coronary artery,,UBERON:0000948,heart,
UBERON:0004148,cardiac vein,,UBERON:0000948,heart,
