s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
CL:0000542	lymphocyte	lymphocyte	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	149	50.70075989393665
CL:0000542	lymphocyte	lymphocyte	UBERON:8470002	moderator band	Moderator band	195	50.70075989393665
CL:0000071	blood vessel endothelial cell	endothelial cell	UBERON:8470002	moderator band	Moderator band	191	46.54210217211596
CL:0000542	lymphocyte	lymphocyte	UBERON:0003380	cardiac muscle of left atrium	myocardium	88	46.13930593210728
CL:0000236	B cell	B lymphocyte	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	62	44.287538822491285
CL:0000236	B cell	B lymphocyte	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	154	44.287538822491285
CL:0000236	B cell	B lymphocyte	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	22	44.287538822491285
CL:0000236	B cell	B lymphocyte	UBERON:0003383	cardiac muscle tissue of interventricular septum	cardiac muscle tissue of interventricular septum	214	44.287538822491285
CL:0000057	fibroblast	fibroblast	UBERON:0035374	small cardiac vein	small cardiac vein	54	42.37599327481042
CL:0000057	fibroblast	fibroblast	UBERON:0035422	circumflex branch of left coronary artery	left circumflex artery	40	42.37599327481042
CL:0000057	fibroblast	fibroblast	UBERON:0039232	conus artery	conus artery	170	42.37599327481042
CL:0000057	fibroblast	fibroblast	UBERON:8470002	moderator band	Moderator band	193	42.37599327481042
CL:0000057	fibroblast	fibroblast	UBERON:8600063	septal perforating artery	septal perforating arteries	133	42.37599327481042
CL:0000057	fibroblast	fibroblast	UBERON:0006958	great vein of heart	great cardiac vein	136	42.37599327481042
CL:0000057	fibroblast	fibroblast	UBERON:0009687	middle cardiac vein	middle cardiac vein	139	42.37599327481042
CL:0000057	fibroblast	fibroblast	UBERON:8470002	moderator band	Moderator band	189	42.37599327481042
CL:0000057	fibroblast	fibroblast	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	146	42.37599327481042
CL:0000542	lymphocyte	lymphocyte	UBERON:0006567	right ventricle myocardium	myocardium	184	37.895139662455776
CL:0000057	fibroblast	fibroblast	UBERON:8600102	left anterior descending artery	left anterior descending artery	127	37.81453931298105
CL:0000746	cardiac muscle cell	cardiomyocyte	UBERON:8470002	moderator band	Moderator band	187	36.17569324865443
CL:0000235	macrophage	macrophage	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	147	35.612890040627775
CL:0000235	macrophage	macrophage	UBERON:8470002	moderator band	Moderator band	190	35.612890040627775
CL:0000057	fibroblast	fibroblast	UBERON:0001625	right coronary artery	right coronary artery	51	35.1462597965449
CL:0000236	B cell	B lymphocyte	UBERON:0006566	left ventricle myocardium	myocardium	106	33.69617071498439
CL:0001065	Innate lymphoid cell	Innate lymphoid cell	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	24	32.18234601724215
CL:0001065	innate lymphoid cell	ILC	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	156	32.18234601724215
CL:0001065	innate lymphoid cell	ILC	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	64	32.18234601724215
CL:0000136	adipocyte	adipocyte	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	151	31.614239286825054
CL:0000236	B cell	B lymphocyte	UBERON:0006567	right ventricle myocardium	myocardium	160	31.481918591010412
CL:0000235	macrophage	macrophage	UBERON:0003380	cardiac muscle of left atrium	myocardium	58	31.051436078798403
CL:0000097	mast cell	mast cell	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	20	28.49963370942004
CL:0000097	mast cell	mast cell	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	60	28.49963370942004
CL:0000097	mast cell	mast cell	UBERON:0003383	cardiac muscle tissue of interventricular septum	cardiac muscle tissue of interventricular septum	212	28.49963370942004
CL:0000097	mast cell	mast cell	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	152	28.49963370942004
CL:0000136	adipocyte	adipocyte	UBERON:0003380	cardiac muscle of left atrium	myocardium	90	27.052785324995682
CL:0000071	blood vessel endothelial cell	endothelial cell	UBERON:0002348	epicardium	Epicardium	210	26.506748462369572
CL:0000542	lymphocyte	lymphocyte	UBERON:0003379	cardiac muscle of right atrium	myocardium	35	25.505286326070333
CL:0000359	vascular associated smooth muscle cell	smooth muscle cell	UBERON:8470002	moderator band	Moderator band	192	25.195473567866316
CL:0000235	macrophage	macrophage	UBERON:0006566	left ventricle myocardium	myocardium	94	25.02152193312088
CL:0000057	fibroblast	fibroblast	UBERON:0005438	coronary sinus	coronary sinus	46	24.13017742749289
UBERON:0002049	vasculature	vasculature	UBERON:0002079	left cardiac atrium	left atrium	66	23.982061575069608
UBERON:0002049	vasculature	vasculature	UBERON:0002079	left cardiac atrium	left atrium	67	23.982061575069608
UBERON:0002049	vasculature	vasculature	UBERON:0002079	left cardiac atrium	left atrium	68	23.982061575069608
UBERON:0002049	vasculature	vasculature	UBERON:0002080	heart right ventricle	right ventricle	178	23.926527177906024
UBERON:0002049	vasculature	vasculature	UBERON:0002080	heart right ventricle	right ventricle	179	23.926527177906024
UBERON:0002049	vasculature	vasculature	UBERON:0002080	heart right ventricle	right ventricle	177	23.926527177906024
CL:0002138	endothelial cell of lymphatic vessel	lymphatic endothelial cell	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	153	23.206227532881115
CL:0002138	endothelial cell of lymphatic vessel	lymphatic endothelial cell	UBERON:0003383	cardiac muscle tissue of interventricular septum	cardiac muscle tissue of interventricular septum	213	23.206227532881115
CL:0002138	endothelial cell of lymphatic vessel	lymphatic endothelial cell	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	61	23.206227532881115
CL:0002138	endothelial cell of lymphatic vessel	lymphatic endothelial cell	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	21	23.206227532881115
CL:0000235	macrophage	macrophage	UBERON:0006567	right ventricle myocardium	myocardium	167	22.807269809146902
CL:0000057	fibroblast	fibroblast	UBERON:0002348	epicardium	Epicardium	209	22.34063956506403
CL:0002068	Purkinje myocyte	Purkinje fiber cell	UBERON:8470002	moderator band	Moderator band	188	21.928528155139645
CL:0002068	Purkinje myocyte	Purkinje fiber cell	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	145	21.928528155139645
CL:0002573	Schwann cell	Schwann Cell	UBERON:0003380	cardiac muscle of left atrium	myocardium	59	21.689200434796575
CL:0001065	innate lymphoid cell	ILC	UBERON:0006566	left ventricle myocardium	myocardium	108	21.59097790973526
UBERON:0002049	vasculature	vasculature	UBERON:0002078	right cardiac atrium	right atrium	27	21.31378205863348
UBERON:0002049	vasculature	vasculature	UBERON:0002078	right cardiac atrium	right atrium	28	21.31378205863348
UBERON:0002049	vasculature	vasculature	UBERON:0002078	right cardiac atrium	right atrium	26	21.31378205863348
CL:0000136	adipocyte	adipocyte	UBERON:0006566	left ventricle myocardium	myocardium	103	21.02287117931816
UBERON:0002049	vasculature	vasculature	UBERON:0002084	heart left ventricle	left ventricle	97	20.987395152649015
UBERON:0002049	vasculature	vasculature	UBERON:0002084	heart left ventricle	left ventricle	96	20.987395152649015
UBERON:0002049	vasculature	vasculature	UBERON:0002084	heart left ventricle	left ventricle	95	20.987395152649015
CL:0000914	immature NK T cell	NK/T lymphocyte	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	155	19.714276031165667
CL:0000914	immature NK T cell	NK/T lymphocyte	UBERON:0003383	cardiac muscle tissue of interventricular septum	cardiac muscle tissue of interventricular septum	215	19.714276031165667
CL:0000914	immature NK T cell	NK/T lymphocyte	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	23	19.714276031165667
CL:0000914	immature NK T cell	NK/T lymphocyte	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	63	19.714276031165667
CL:0001065	innate lymphoid cell	ILC	UBERON:0006567	right ventricle myocardium	myocardium	162	19.37672578576128
CL:0000071	blood vessel endothelial cell	smooth muscle cell	UBERON:0002094	interventricular septum	septum	129	19.071348651783566
CL:0000136	adipocyte	adipocyte	UBERON:0006567	right ventricle myocardium	myocardium	186	18.80861905534418
CL:0000097	mast cell	mast cell	UBERON:0006566	left ventricle myocardium	myocardium	104	17.908265601913143
CL:0000071	blood vessel endothelial cell	endothelial cell	UBERON:0002137	Aortic valve	Aortic valve	204	17.3838405387108
CL:1000413	endothelial cell of artery	endothelial cell	UBERON:0006958	great vein of heart	great cardiac vein	134	15.780038062510926
CL:1000413	endothelial cell of artery	endothelial cell	UBERON:0035422	circumflex branch of left coronary artery	left circumflex artery	38	15.780038062510926
CL:1000413	endothelial cell of artery	endothelial cell	UBERON:8600063	septal perforating artery	septal perforating arteries	131	15.780038062510926
CL:1000413	endothelial cell of artery	endothelial cell	UBERON:0035374	small cardiac vein	small cardiac vein	52	15.780038062510926
CL:1000413	endothelial cell of artery	endothelial cell	UBERON:0039232	conus artery	conus artery	168	15.780038062510926
CL:1000413	endothelial cell of artery	endothelial cell	UBERON:0009687	middle cardiac vein	middle cardiac vein	137	15.780038062510926
CL:0000097	mast cell	mast cell	UBERON:0006567	right ventricle myocardium	myocardium	158	15.694013477939166
CL:0000235	macrophage	macrophage	UBERON:0002348	epicardium	Epicardium	211	15.577536330881387
CL:0000071	blood vessel endothelial cell	endothelial cell	UBERON:0002079	left cardiac atrium	left atrium	72	15.147242766746928
CL:0000071	blood vessel endothelial cell	endothelial cell	UBERON:0002079	left cardiac atrium	left atrium	84	15.147242766746928
CL:0000071	blood vessel endothelial cell	endothelial cell	UBERON:0002079	left cardiac atrium	left atrium	75	15.147242766746928
CL:0000071	blood vessel endothelial cell	endothelial cell	UBERON:0002079	left cardiac atrium	left atrium	78	15.147242766746928
CL:0000071	blood vessel endothelial cell	endothelial cell	UBERON:0002079	left cardiac atrium	left atrium	81	15.147242766746928
CL:0000071	blood vessel endothelial cell	smooth muscle cell	UBERON:0002080	heart right ventricle	right ventricle	175	15.091708369583344
CL:0000071	blood vessel endothelial cell	smooth muscle cell	UBERON:0002080	heart right ventricle	right ventricle	172	15.091708369583344
CL:0000057	fibroblast	fibroblast	UBERON:0002094	interventricular septum	septum	130	14.905239754478025
